"","SPECIES","TAXONNAME","COMMONNAME","GENUS","FAMILY","COMMONFAMILYALL","TROPHIC","TROPHIC_MONREP"
"354","OXLO","Oxymonacanthus longirostris","Harlequin filefish","Oxymonacanthus","Monacanthidae","Filefish","Cor","SECONDARY"
"355","PLLD","Plagiotremus laudandus","Bicolour fangblenny","Plagiotremus","Blenniidae","Blenny","Par","SECONDARY"
"356","PABA","Parupeneus barberinus","Dash-and-dot goatfish","Parupeneus","Mullidae","Goatfish","MI","SECONDARY"
"357","EPTA","Epinephelus tauvina","Greasy grouper","Epinephelus","Serranidae","Grouper","Pisc","PISCIVORE"
"358","DATR","Dascyllus trimaculatus","Threespot dascyllus","Dascyllus","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"359","RHLU","Rhinecanthus lunula","Halfmoon picassofish","Rhinecanthus","Balistidae","Triggerfish","MI","SECONDARY"
"360","PLRH","Plagiotremus rhinorhynchos","Bluestriped fangblenny","Plagiotremus","Blenniidae","Blenny","Par","SECONDARY"
"361","STST","Stethojulis strigiventer","Three-line/Three-ribbon/Stripebelly wrasse","Stethojulis","Labridae","Wrasse","MI","SECONDARY"
"362","AMME","Amphiprion melanopus","Fire clownfish","Amphiprion","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"363","NEME","Neopomacentrus metallicus","Metallic demoiselle","Neopomacentrus","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"364","HASP","Halichoeres sp","UNKNOWN","Halichoeres","Labridae","Wrasse","MI","SECONDARY"
"365","SIAR","Siganus argenteus","Streamlined spinefoot","Siganus","Siganidae","Rabbitfish","H","PRIMARY"
"366","MALA","Malacanthus latovittatus","Blue blanquillo","Malacanthus","Malacanthidae","Tilefish","MI","SECONDARY"
"367","PSCO","Pseudanthias cooperi","Red-bar anthias","Pseudanthias","Serranidae","Anthias","Pk","PLANKTIVORE"
"368","ANLE","Anyperodon leucogrammicus","Slender grouper","Anyperodon","Serranidae","Grouper","Pisc","PISCIVORE"
"369","COFF","Corythoichthys flavofasciatus","Network pipefish","Corythoichthys","Syngnathidae","Pipefishes and seahorses","Pk","PLANKTIVORE"
"370","AMPH","Amblygobius phalaena","Banded goby","Amblygobius","Gobiidae","Goby","H","PRIMARY"
"371","CABE","Canthigaster bennetti","Bennett's sharpnose puffer","Canthigaster","Tetraodontidae","Pufferfish","H","PRIMARY"
"372","STSP","Stegastes sp","UNKNOWN","Stegastes","Pomacentridae","Damselfish","H","PRIMARY"
"373","SCAL","Scarus altipinnis","Filament-finned parrotfish","Scarus","Scaridae","Parrotfish","H","PRIMARY"
"374","DAAR","Dascyllus aruanus","Whitetail dascyllus","Dascyllus","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"375","CHVR","Chromis viridis","Blue green damselfish","Chromis","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"376","ANTH","Anthias sp","UNKNOWN","Anthias","Serranidae","Anthias","Pk","PLANKTIVORE"
"377","LEOL","Lethrinus olivaceus","Longface emperor","Lethrinus","Lethrinidae","Emperor","Pisc","PISCIVORE"
"378","CEFI","Centropyge fisheri","Orange angelfish","Centropyge","Pomacanthidae","Angelfish","H","PRIMARY"
"379","MYAD","Myripristis adusta","Shadowfin soldierfish","Myripristis","Holocentridae","Soldierfish","Pk","PLANKTIVORE"
"380","ACAL","Acanthurus albipectoralis","Whitefin surgeonfish","Acanthurus","Acanthuridae","Surgeonfish","H","PRIMARY"
"381","EPPO","Epinephelus polyphekadion","Camouflage grouper","Epinephelus","Serranidae","Grouper","Pisc","PISCIVORE"
"382","CAMC","Caracanthus maculatus","Spotted coral croucher","Caracanthus","Caracanthidae","Velvetfish","MI","SECONDARY"
"383","NATO","Naso tonganus","Bulbnose unicornfish","Naso","Acanthuridae","Surgeonfish","H","PRIMARY"
"384","CHRA","Chaetodon rafflesii","Latticed butterflyfish","Chaetodon","Chaetodontidae","Butterflyfish","Cor","SECONDARY"
"385","CHEI","Cheilinus sp","UNKNOWN","Cheilinus","Labridae","Wrasse","MI","SECONDARY"
"386","MYVL","Myripristis violacea","Lattice soldierfish","Myripristis","Holocentridae","Soldierfish","MI","SECONDARY"
"387","CAJN","Canthigaster janthinoptera","Honeycomb toby","Canthigaster","Tetraodontidae","Pufferfish","H","PRIMARY"
"388","NAAN","Naso annulatus","Whitemargin unicornfish","Naso","Acanthuridae","Surgeonfish","Pk","PLANKTIVORE"
"389","GYUN","Gymnothorax undulatus","Undulated moray","Gymnothorax","Muraenidae","Moray","Pisc","PISCIVORE"
"390","SCXA","Scarus xanthopleura","Red parrotfish","Scarus","Scaridae","Parrotfish","H","PRIMARY"
"391","STAL","Stegastes albifasciatus","Whitebar gregory","Stegastes","Pomacentridae","Damselfish","H","PRIMARY"
"392","CHGL","Chrysiptera glauca","Grey demoiselle","Chrysiptera","Pomacentridae","Damselfish","H","PRIMARY"
"393","CAML","Carcharhinus melanopterus","Blacktip reef shark","Carcharhinus","Carcharhinidae","Requiem","Pisc","PISCIVORE"
"394","HATR","Halichoeres trimaculatus","Threespot wrasse","Halichoeres","Labridae","Wrasse","MI","SECONDARY"
"395","CARD","Apogonidae","Apogonidae species","UNKNOWN","Apogonidae","Cardinalfish","Pk","PLANKTIVORE"
"396","CHQN","Cheilodipterus quinquelineatus","Five-lined cardinalfish","Cheilodipterus","Apogonidae","Cardinalfish","MI","SECONDARY"
"397","APSP","Apogon sp","Apogon species","Apogon","Apogonidae","Cardinalfish","Pk","PLANKTIVORE"
"398","STNI","Stegastes nigricans","Dusky farmerfish","Stegastes","Pomacentridae","Damselfish","H","PRIMARY"
"399","POPA","Pomacentrus pavo","Sapphire damsel","Pomacentrus","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"400","NASP","Naso sp","UNKNOWN","Naso","Acanthuridae","Surgeonfish","Pk","PLANKTIVORE"
"401","NEAG","Neoniphon argenteus","Clearfin squirrelfish","Neoniphon","Holocentridae","Soldierfish","MI","SECONDARY"
"402","SAPP","Sargocentron sp","UNKNOWN","Sargocentron","Holocentridae","Soldierfish","MI","SECONDARY"
"403","CAVA","Canthigaster valentini","Valentinni's sharpnosepuffer","Canthigaster","Tetraodontidae","Pufferfish","H","PRIMARY"
"404","LEHA","Lethrinus harak","Thumbprint emperor","Lethrinus","Lethrinidae","Emperor","MI","SECONDARY"
"405","SCGH","Scarus ghobban","Blue-barred parrotfish","Scarus","Scaridae","Parrotfish","H","PRIMARY"
"406","PLAL","Plectropomus areolatus","Squaretail coralgrouper","Plectropomus","Serranidae","Grouper","Pisc","PISCIVORE"
"407","NEOP","Neoniphon opercularis","Blackfin squirrelfish","Neoniphon","Holocentridae","Soldierfish","MI","SECONDARY"
"408","STTR","Stethojulis trilineata","Fourline wrasse","Stethojulis","Labridae","Wrasse","MI","SECONDARY"
"409","GYJA","Gymnothorax javanicus","Giant moray","Gymnothorax","Muraenidae","Moray","Pisc","PISCIVORE"
"410","CHBE","Chaetodon bennetti","Bluelashed butterflyfish","Chaetodon","Chaetodontidae","Butterflyfish","MI","SECONDARY"
"411","OSCU","Ostracion cubicus","Yellow boxfish","Ostracion","Ostraciidae","Boxfish","H","PRIMARY"
"412","DIHY","Diodon hystrix","Spot-fin porcupinefish","Diodon","Diodontidae","Porcupinefish","MI","SECONDARY"
"413","CASE","Caranx sexfasciatus","Bigeye trevally","Caranx","Carangidae","Jack","Pisc","PISCIVORE"
"414","PLPI","Plectorhinchus picus","Painted sweetlip","Plectorhinchus","Haemulidae","Grunt","MI","SECONDARY"
"415","POPU","Pogonoperca punctata","Spotted soapfish","Pogonoperca","Serranidae","Grouper","Pisc","PISCIVORE"
"416","NEAR","Neocirrhites armatus","Flame hawkfish","Neocirrhites","Cirrhitidae","Hawkfish","MI","SECONDARY"
"417","ABSP","Abudefduf septemfasciatus","Banded sergeant","Abudefduf","Pomacentridae","Damselfish","H","PRIMARY"
"418","EPHO","Epinephelus howlandi","Blacksaddle grouper","Epinephelus","Serranidae","Grouper","Pisc","PISCIVORE"
"419","PAXA","Paracirrhites xanthus","Yellow hawkfish","Paracirrhites","Cirrhitidae","Hawkfish","MI","SECONDARY"
"420","CHCH","Chanos chanos","Milkfish","Chanos","Chanidae","Milkfish","H","PRIMARY"
"421","CIHU","Cirrhitops hubbardi","Whitespotted hawkfish","Cirrhitops","Cirrhitidae","Hawkfish","MI","SECONDARY"
"422","PSDI","Pseudanthias dispar","Peach fairy basslet","Pseudanthias","Serranidae","Anthias","Pk","PLANKTIVORE"
"423","BOPR","Bodianus prognathus","Longnose hogfish","Bodianus","Labridae","Wrasse","MI","SECONDARY"
"424","PEMA","Pervagor marginalis","Blackmargin filefish","Pervagor","Monacanthidae","Filefish","Om","SECONDARY"
"425","MYMU","Myripristis murdjan","Pinecone soldierfish","Myripristis","Holocentridae","Soldierfish","Pk","PLANKTIVORE"
"426","HILO","Hipposcarus longiceps","Pacific longnoseparrotfish","Hipposcarus","Scaridae","Parrotfish","H","PRIMARY"
"427","THSP","Thalassoma sp","UNKNOWN","Thalassoma","Labridae","Wrasse","MI","SECONDARY"
"428","ENPA","Enchelycore pardalis","Leopard moray eel","Enchelycore","Muraenidae","Moray","Pisc","PISCIVORE"
"429","HAMM","Sphyrnidae","Hammerhead species","UNKNOWN","Sphyrnidae","Hammerhead","Pisc","PISCIVORE"
"430","MYWO","Myripristis woodsi","Whitespot soldierfish","Myripristis","Holocentridae","Soldierfish","Pk","PLANKTIVORE"
"431","CHPU","Chaetodon punctatofasciatus","Spotband butterflyfish","Chaetodon","Chaetodontidae","Butterflyfish","MI","SECONDARY"
"432","ECMI","Ecsenius midas","Persian blenny","Ecsenius","Blenniidae","Blenny","Pk","PLANKTIVORE"
"433","THLN","Thalassoma lunare","Moon wrasse","Thalassoma","Labridae","Wrasse","Pk","PLANKTIVORE"
"434","LEXA","Lethrinus xanthochilus","Yellowlip emperor","Lethrinus","Lethrinidae","Emperor","Pisc","PISCIVORE"
"435","PSPY","Pseudojuloides polynesica","Polynesian Pencil Wrasse","Pseudojuloides","Labridae","Wrasse","MI","SECONDARY"
"436","PLOR","Platax orbicularis","Orbicular batfish","Platax","Ephippidae","Spadefish","Om","SECONDARY"
"437","FILE","Monacanthidae","UNKNOWN","UNKNOWN","Monacanthidae","Filefish","H","PRIMARY"
"438","SCFE","Scarus festivus","Festive parrotfish","Scarus","Scaridae","Parrotfish","H","PRIMARY"
"439","CHLE","Chromis lepidolepis","Scaly chromis","Chromis","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"440","NEED","Belonidae","UNKNOWN","UNKNOWN","Belonidae","Needlefish","Pisc","PISCIVORE"
"441","LERU","Lethrinus rubrioperculatus","Spotcheek emperor","Lethrinus","Lethrinidae","Emperor","MI","SECONDARY"
"442","ANSP","Anampses sp","UNKNOWN","Anampses","Labridae","Wrasse","MI","SECONDARY"
"443","CESS","Cephalopholis sp","UNKNOWN","Cephalopholis","Serranidae","Grouper","Pisc","PISCIVORE"
"444","PESP","Pervagor spilosoma","Fantail filefish","Pervagor","Monacanthidae","Filefish","Om","SECONDARY"
"445","COVE","Coris venusta","Elegant coris","Coris","Labridae","Wrasse","MI","SECONDARY"
"446","CIFA","Cirrhitops fasciatus","Redbarred hawkfish","Cirrhitops","Cirrhitidae","Hawkfish","MI","SECONDARY"
"447","PLGO","Plagiotremus goslinei","Biting blenny","Plagiotremus","Blenniidae","Blenny","MI","SECONDARY"
"448","CHOV","Chromis ovalis","Hawaiian chromis","Chromis","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"449","CHFR","Chaetodon fremblii","Bluestriped butterflyfish","Chaetodon","Chaetodontidae","Butterflyfish","SI","SECONDARY"
"450","CHHA","Chromis hanui","Hawaiian bicolor chromis","Chromis","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"451","PLEW","Plagiotremus ewaensis","Ewa blenny","Plagiotremus","Blenniidae","Blenny","MI","SECONDARY"
"452","CHMI","Chaetodon miliaris","Millet butterflyfish","Chaetodon","Chaetodontidae","Butterflyfish","Pk","PLANKTIVORE"
"453","STMA","Stegastes marginatus","Hawaiian gregory","Stegastes","Pomacentridae","Damselfish","H","PRIMARY"
"454","PASC","Parapercis schauinslandii","Redspotted sandperch","Parapercis","Pinguipedidae","Sandperch","MI","SECONDARY"
"455","ACDU","Acanthurus dussumieri","Eyestripe surgeonfish","Acanthurus","Acanthuridae","Surgeonfish","H","PRIMARY"
"456","ANCH","Anampses chrysocephalus","Red tail wrasse","Anampses","Labridae","Wrasse","MI","SECONDARY"
"457","ANCU","Anampses cuvier","Pearl wrasse","Anampses","Labridae","Wrasse","MI","SECONDARY"
"458","ACLE","Acanthurus leucopareius","Whitebar surgeonfish","Acanthurus","Acanthuridae","Surgeonfish","H","PRIMARY"
"459","COFL","Coris flavovittata","Yellowstripe coris","Coris","Labridae","Wrasse","MI","SECONDARY"
"460","APAR","Apolemichthys arcuatus","Banded angelfish","Apolemichthys","Pomacanthidae","Angelfish","SI","SECONDARY"
"461","PRME","Priacanthus meeki","Hawaiian bigeye","Priacanthus","Priacanthidae","Bigeye","Pk","PLANKTIVORE"
"462","COBA","Coris ballieui","UNKNOWN","Coris","Labridae","Wrasse","MI","SECONDARY"
"463","PSTH","Pseudanthias thompsoni","Hawaiian anthias","Pseudanthias","Serranidae","Anthias","Pk","PLANKTIVORE"
"464","HEDI","Heniochus diphreutes","False moorish idol","Heniochus","Chaetodontidae","Butterflyfish","Pk","PLANKTIVORE"
"465","CAZO","Calotomus zonarchus","Yellowbar parrot","Calotomus","Scaridae","Parrotfish","H","PRIMARY"
"466","CACO","Canthigaster coronata","Crowned puffer","Canthigaster","Tetraodontidae","Pufferfish","H","PRIMARY"
"467","CAVE","Cantherhines verecundus","Shy filefish","Cantherhines","Monacanthidae","Filefish","H","PRIMARY"
"468","CAGA","Carcharhinus galapagensis","Galapagos shark","Carcharhinus","Carcharhinidae","Requiem","Pisc","PISCIVORE"
"469","OPPU","Oplegnathus punctatus","Spotted knifejaw","Oplegnathus","Oplegnathidae","Knifejaw","MI","SECONDARY"
"470","ENPU","Encrasicholina purpurea","Hawaiian anchovy","Encrasicholina","Engraulidae","Anchovy","Pk","PLANKTIVORE"
"471","CIJO","Cirrhilabrus jordani","Flame wrasse","Cirrhilabrus","Labridae","Wrasse","Pk","PLANKTIVORE"
"472","PACH","Parupeneus chrysonemus","Yellowbarbel goatfish","Parupeneus","Mullidae","Goatfish","MI","SECONDARY"
"473","TYCR","Tylosurus crocodilus","Houndneedlefish","Tylosurus","Belonidae","Needlefish","Pisc","PISCIVORE"
"474","GEPE","Genicanthus personatus","Masked angelfish","Genicanthus","Pomacanthidae","Angelfish","Pk","PLANKTIVORE"
"475","PAPO","Parupeneus porphyreus","Whitesaddle goatfish","Parupeneus","Mullidae","Goatfish","MI","SECONDARY"
"476","SCDI","Scorpaenopsis diabolus","False stonefish","Scorpaenopsis","Scorpaenidae","Scorpionfish","Pisc","PISCIVORE"
"477","CYLE","Cymolutes lecluse","Sharp-headed wrasse","Cymolutes","Labridae","Wrasse","MI","SECONDARY"
"478","DIHO","Diodon holocanthus","Long-spine porcupinefish","Diodon","Diodontidae","Porcupinefish","MI","SECONDARY"
"479","CHVI","Cheilodactylus vittatus","Hawaiian morwong","Goniistius","Cheilodactylidae","Morwong","SI","SECONDARY"
"480","PRKA","Pristiapogon kallopterus","Iridescent cardinalfish","Apogon","Apogonidae","Cardinalfish","Pk","PLANKTIVORE"
"481","PTSP","Pterois sphex","Hawaiian turkeyfish","Pterois","Scorpaenidae","Scorpionfish","Pisc","PISCIVORE"
"482","PLAR","Platybelone argalus","Keeltail needlefish","Platybelone","Belonidae","Needlefish","Pisc","PISCIVORE"
"483","PSHW","Pseudanthias hawaiiensis","Longfin anthias","Pseudanthias","Serranidae","Anthias","Pk","PLANKTIVORE"
"484","XAME","Xanthichthys mento","Redtail triggerfish","Xanthichthys","Balistidae","Triggerfish","Pk","PLANKTIVORE"
"485","CEIN","Centropyge interrupta","Japanese angelfish","Centropyge","Pomacanthidae","Angelfish","H","PRIMARY"
"486","PSBI","Pseudanthias bicolor","Bicolor anthias","Pseudanthias","Serranidae","Anthias","Pk","PLANKTIVORE"
"487","GUCU","Gunnellichthys curiosus","Curious wormfish","Gunnellichthys","Microdesmidae","Wormfish","Pk","PLANKTIVORE"
"488","PLSI","Plectroglyphidodon sindonis","Rock damselfish","Plectroglyphidodon","Pomacentridae","Damselfish","H","PRIMARY"
"489","CIOB","Cirripectes obscurus","Gargantuan blenny","Cirripectes","Blenniidae","Blenny","H","PRIMARY"
"490","NONE","no individuals seen","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","X","UNKNOWN"
"491","SAXA","Sargocentron xantherythrum","Hawaiian squirrelfish","Sargocentron","Holocentridae","Soldierfish","MI","SECONDARY"
"492","TRIG","Balistidae","Triggerfish species","UNKNOWN","Balistidae","Triggerfish","MI","SECONDARY"
"493","BAPO","Balistes polylepis","Finescale triggerfish","Balistes","Balistidae","Triggerfish","MI","SECONDARY"
"494","OXTY","Oxycirrhites typus","Longnose hawkfish","Oxycirrhites","Cirrhitidae","Hawkfish","Pk","PLANKTIVORE"
"495","CHIN","Cheilio inermis","Cigar wrasse","Cheilio","Labridae","Wrasse","MI","SECONDARY"
"496","KUSA","Kuhlia sandvicensis","Hawaiian flagtail","Kuhlia","Kuhliidae","Aholehole","Pk","PLANKTIVORE"
"497","INPA","Iniistius pavo","Peacock wrasse","Iniistius","Labridae","Wrasse","MI","SECONDARY"
"498","MUPF","Mulloidichthys pfluegeri","Orange goatfish","Mulloidichthys","Mullidae","Goatfish","MI","SECONDARY"
"499","INUM","Iniistius umbrilatus","Razor wrasse fish","Iniistius","Labridae","Wrasse","MI","SECONDARY"
"500","SECO","Sebastapistes coniorta","Humpback nohu","Sebastapistes","Scorpaenidae","Scorpionfish","MI","SECONDARY"
"501","CATY","Caracanthus typicus","Hawaiian orbicularvelvetfish","Caracanthus","Caracanthidae","Velvetfish","MI","SECONDARY"
"502","PUFF","Tetraodontidae","UNKNOWN","UNKNOWN","Tetraodontidae","Pufferfish","MI","SECONDARY"
"503","SCPP","Scorpaenopsis sp","UNKNOWN","Scorpaenopsis","Scorpaenidae","Scorpionfish","Pisc","PISCIVORE"
"504","GYZE","Gymnomuraena zebra","Zebra moray","Gymnomuraena","Muraenidae","Moray","MI","SECONDARY"
"505","PTAN","Pterois antennata","Broadbarred firefish","Pterois","Scorpaenidae","Scorpionfish","MI","SECONDARY"
"506","TRBA","Trachinotus baillonii","Smallspotted dart","Trachinotus","Carangidae","Jack","Pisc","PISCIVORE"
"507","PSAT","Pseudojuloides atavai","Polynesianwrasse","Pseudojuloides","Labridae","Wrasse","MI","SECONDARY"
"508","LAPE","Labroides pectoralis","Blackspot cleaner wrasse","Labroides","Labridae","Wrasse","MI","SECONDARY"
"509","BOAN","Bodianus anthioides","Lyretail hogfish","Bodianus","Labridae","Wrasse","Pk","PLANKTIVORE"
"510","CHTY","Chrysiptera traceyi","Tracey's demoiselle","Chrysiptera","Pomacentridae","Damselfish","H","PRIMARY"
"511","CESH","Centropyge shepardi","Mango angelfish","Centropyge","Pomacanthidae","Angelfish","H","PRIMARY"
"512","SCLI","Scolopsis lineata","Striped monocle bream","Scolopsis","Nemipteridae","Threadfin","Om","SECONDARY"
"513","POGU","Pomachromis guamensis","Guam damsel","Pomachromis","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"514","CIKA","Cirrhilabrus katherinae","Katherine's wrasse","Cirrhilabrus","Labridae","Wrasse","Pk","PLANKTIVORE"
"515","AMCL","Amphiprion clarkii","Yellowtail clownfish","Amphiprion","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"516","PTMI","Ptereleotris microlepis","Blue gudgeon","Ptereleotris","Ptereleotridae","Dartfish","Pk","PLANKTIVORE"
"517","CHMD","Cheilodipterus macrodon","Large toothed cardinalfish","Cheilodipterus","Apogonidae","Cardinalfish","Pisc","PISCIVORE"
"518","GROU","Serranidae","UNKNOWN","UNKNOWN","Serranidae","Grouper","Pisc","PISCIVORE"
"519","ACNU","Acanthurus nubilus","Bluelinedsurgeon","Acanthurus","Acanthuridae","Surgeonfish","Pk","PLANKTIVORE"
"520","KYVA","Kyphosus vaigiensis","Brassy chub","Kyphosus","Kyphosidae","Chub","H","PRIMARY"
"521","SPDE","Spratelloides delicatulus","Delicate round herring","Spratelloides","Clupeidae","Herring etc","Pk","PLANKTIVORE"
"522","NEHE","Nemateleotris helfrichi","Helfrich's dartfish","Nemateleotris","Microdesmidae","Dartfish","Pk","PLANKTIVORE"
"523","CESO","Cephalopholis sonnerati","Tomato hind","Cephalopholis","Serranidae","Grouper","Pisc","PISCIVORE"
"524","BUTT","Chaetodontidae","UNKNOWN","UNKNOWN","Chaetodontidae","Butterflyfish","Cor","SECONDARY"
"525","BOBI","Bodianus bilunulatus","Tarry hogfish","Bodianus","Labridae","Wrasse","MI","SECONDARY"
"526","PEJA","Pervagor janthinosoma","Blackbar filefish","Pervagor","Monacanthidae","Filefish","Om","SECONDARY"
"527","ECOP","Ecsenius opsifrontalis","Comical blenny","Ecsenius","Blenniidae","Blenny","Pk","PLANKTIVORE"
"528","EPMA","Epinephelus maculatus","Highfin grouper","Epinephelus","Serranidae","Grouper","Pisc","PISCIVORE"
"529","ARST","Arothron stellatus","Starry toadfish","Arothron","Tetraodontidae","Pufferfish","Cor","SECONDARY"
"530","DART","Microdesmidae","UNKNOWN","UNKNOWN","Microdesmidae","Wormfish","Pk","PLANKTIVORE"
"531","DASY","Dasyatidae","Stingray species","UNKNOWN","Dasyatidae","Stingray","MI","SECONDARY"
